2024-07-19/19:42:34		Start of Validation on files!!
2024-07-19/19:42:43		Raw Data Validation Complete!!
2024-07-19/19:42:43		Starting Data Transforamtion!!
2024-07-19/19:42:49		DataTransformation Completed!!!
2024-07-19/19:42:49		Creating Training_Database and tables on the basis of given schema!!!
2024-07-19/19:47:27		Table creation Completed!!
2024-07-19/19:47:27		Insertion of Data into Table started!!!!
2024-07-19/19:48:43		Insertion in Table completed!!!
2024-07-19/19:48:43		Deleting Good Data Folder!!!
2024-07-19/19:48:43		Good_Data folder deleted!!!
2024-07-19/19:48:43		Moving bad files to Archive and deleting Bad_Data folder!!!
2024-07-19/19:48:43		Bad files moved to archive!! Bad folder Deleted!!
2024-07-19/19:48:43		Validation Operation completed!!
2024-07-19/19:48:43		Extracting csv file from table
